ID,CITY,STATE,LONGITUDE,LATITUDE,YEARS,APRIL_CLOUDY_DAYS,APRIL_PARTLY_CLOUDY_DAYS,APRIL_CLEAR_DAYS,ANNUAL_CLOUDY_DAYS,ANNUAL_PARTLY_CLOUDY_DAYS,ANNUAL_CLEAR_DAYS
13876,BIRMINGHAM,AL,121.04539,14.56472,37,9,8,13,99,111,155
3856,HUNTSVILLE,AL,-86.81179,33.52072,27,9,7,14,100,101,164
13894,MOBILE,AL,-86.5851,34.72929,47,9,9,12,102,116,147
13895,MONTGOMERY,AL,-88.05297,30.68648,51,10,8,12,107,107,151
26451,ANCHORAGE,AK,-86.30005,32.38015,44,6,6,18,61,65,239
25308,ANNETTE,AK,-149.85815,61.21753,41,3,6,21,40,60,265
27502,BARROW,AK,-131.54017,55.06238,54,11,7,12,66,52,187
26615,BETHEL,AK,-156.79226,71.28884,34,6,6,17,62,65,239
26533,BETTLES,AK,-161.76092,60.79434,5,7,10,13,86,93,187
26415,BIG DELTA,AK,-151.5219,66.91766,3,2,9,20,60,93,212
25624,COLD BAY,AK,-145.8418,64.15289,42,1,4,26,10,50,304
26411,FAIRBANKS,AK,-162.72001,55.20762,45,7,8,16,70,86,210
26425,GULKANA,AK,-147.72213,64.84527,5,5,10,15,67,89,209
25507,HOMER,AK,-145.38027,62.26985,15,5,6,18,65,75,225
25309,JUNEAU,AK,-151.54422,59.64656,47,4,4,22,44,41,280
25503,KING SALMON,AK,-134.40679,58.29973,42,4,7,20,51,69,245
25501,KODIAK,AK,-156.70382,58.69753,25,4,6,19,59,74,232
26616,KOTZEBUE,AK,-152.39469,57.79517,52,10,7,13,100,72,193
26510,MCGRATH,AK,-162.5859,66.89675,55,7,7,15,67,72,226
26617,NOME,AK,-155.56587,62.94383,51,9,6,14,91,69,205
25713,ST. PAUL ISLAND,AK,-165.40583,64.49947,66,2,6,22,18,61,287
26528,TALKEETNA,AK,-170.27492,57.12342,10,5,5,18,67,67,225
26627,UNALAKLEET,AK,-150.10484,62.32192,4,9,5,16,83,67,215
26442,VALDEZ,AK,-160.79411,63.87852,26,6,6,19,57,57,251
25339,YAKUTAT,AK,-146.3541,61.13038,48,4,5,21,41,46,278
3103,FLAGSTAFF,AZ,-139.73362,59.55084,43,12,9,9,162,102,102
23183,PHOENIX,AZ,-111.6513,35.1982,57,17,7,6,211,85,70
23160,TUCSON,AZ,-112.0758,33.44825,55,17,7,6,193,91,81
23194,WINSLOW,AZ,-110.96977,32.22177,37,15,9,7,177,99,89
23195,YUMA,AZ,-110.69624,35.02426,32,21,6,4,242,71,52
13964,FORT SMITH,AR,-114.62461,32.68549,49,9,7,14,123,95,147
13963,LITTLE ROCK,AR,-94.42145,35.3847,35,9,7,14,119,100,147
23155,BAKERSFIELD,CA,-92.27485,34.7487,55,12,9,9,191,81,93
23157,BISHOP,CA,-119.01886,35.3673,29,14,9,7,201,89,75
23225,BLUE CANYON,CA,-118.39535,37.3668,31,10,7,13,174,64,126
24213,EUREKA,CA,-120.70335,39.28325,95,6,8,16,77,102,186
93193,FRESNO,CA,-124.15953,40.80327,46,14,8,8,194,73,98
23129,LONG BEACH,CA,-119.78536,36.74095,38,12,10,8,159,119,87
23174,LOS ANGELES,CA,-118.1924,33.76672,60,11,9,9,147,116,103
93134,LOS ANGELES C.O.,CA,-118.24545,34.05357,34,12,10,8,186,106,73
24215,MOUNT SHASTA,CA,-91.779125,18.6537,22,10,10,10,164,83,118
24257,REDDING,CA,-122.19501,41.40932,9,8,8,13,172,77,116
23232,SACRAMENTO,CA,-122.39249,40.58762,49,12,10,8,188,77,100
23188,SAN DIEGO,CA,-121.49085,38.57944,55,10,10,10,146,117,102
23234,SAN FRANCISCO,CA,-117.16171,32.71568,68,11,9,10,160,100,105
23273,SANTA MARIA,CA,-122.41966,37.77712,45,13,9,8,176,110,80
23237,STOCKTON,CA,-120.43453,34.95313,46,12,9,10,184,77,104
23061,ALAMOSA,CO,-121.29046,37.95373,33,10,13,8,148,137,81
93037,COLORADO SPRINGS,CO,-105.87325,37.46818,44,8,10,12,127,120,118
3017,DENVER,CO,-104.82181,38.83352,61,7,11,13,115,130,120
23066,GRAND JUNCTION,CO,-104.99202,39.74001,49,8,9,13,136,106,122
93058,PUEBLO,CO,-108.56445,39.06879,50,9,10,11,139,119,107
94702,BRIDGEPORT,CT,-104.61252,38.26375,46,7,9,14,99,107,159
14740,HARTFORD,CT,-73.19064,41.18213,41,6,9,15,82,108,175
13781,WILMINGTON,DE,-72.67397,41.76381,47,7,8,14,97,104,164
93738,WASHINGTON DULLES,D.C.,-75.55084,39.74023,33,7,9,14,92,105,168
13743,WASHINGTON NAT'L,D.C.,-77.45158,38.95448,48,7,9,14,96,106,164
12832,APALACHICOLA,FL,-122.05943,46.75555,62,12,9,9,128,113,116
12834,DAYTONA BEACH,FL,-84.98701,29.72551,52,11,11,9,97,132,136
12835,FORT MYERS,FL,-81.03917,29.20366,54,11,13,6,98,168,99
13889,JACKSONVILLE,FL,-81.86793,26.64084,47,10,10,9,94,127,144
12836,KEY WEST,FL,-81.65622,30.33147,43,13,11,6,104,155,107
12839,MIAMI,FL,-81.80023,24.5545,46,8,15,7,74,175,115
12815,ORLANDO,FL,-80.19773,25.77481,47,10,11,9,89,147,130
13899,PENSACOLA,FL,-81.37739,28.53823,29,10,9,11,105,123,137
93805,TALLAHASSEE,FL,-87.21726,30.42099,34,11,10,9,102,129,134
12842,TAMPA,FL,-84.28065,30.43977,49,11,11,8,101,143,121
12844,WEST PALM BEACH,FL,-82.45927,27.94653,48,9,13,8,75,159,131
13873,ATHENS,GA,-80.05329,26.7144,52,10,8,11,113,105,147
13874,ATLANTA,GA,-83.37312,33.95816,61,10,8,12,110,107,149
3820,AUGUSTA,GA,-84.39111,33.74831,44,11,8,11,112,106,147
93842,COLUMBUS,GA,-81.97519,33.47935,49,10,9,11,110,104,151
3813,MACON,GA,-84.98757,32.46288,46,11,8,11,112,107,147
3822,SAVANNAH,GA,-83.62802,32.83994,45,11,9,11,104,110,152
21504,HILO,HI,-81.09119,32.08091,50,1,9,20,36,132,197
22521,HONOLULU,HI,-155.08185,19.71924,47,6,14,10,90,181,94
22516,KAHULUI,HI,-157.85788,21.30493,37,8,12,10,131,145,90
22536,LIHUE,HI,-156.46727,20.89102,46,3,14,13,56,184,125
24131,BOISE,ID,-159.3691,21.97504,56,6,9,15,120,90,155
24149,LEWISTON,ID,-116.1934,43.60764,42,5,6,19,91,78,196
24156,POCATELLO,ID,-117.01705,46.41873,46,6,8,16,106,98,162
93809,CAIRO,IL,-112.45056,42.87497,30,8,9,13,113,104,149
94846,CHICAGO,IL,-89.17627,37.0051,37,6,8,16,84,105,176
14923,MOLINE,IL,-87.63245,41.88425,62,7,9,15,101,100,164
14842,PEORIA,IL,-90.49037,41.49177,52,6,8,16,95,97,172
94822,ROCKFORD,IL,-89.58799,40.69236,45,6,8,16,93,98,174
93822,SPRINGFIELD,IL,-89.0774,42.2669,48,7,8,15,104,94,167
93817,EVANSVILLE,IN,-89.6436,39.8013,55,7,8,15,102,100,163
14827,FORT WAYNE,IN,-87.56405,37.97708,49,6,7,17,78,102,186
93819,INDIANAPOLIS,IN,-85.13831,41.08026,64,6,7,17,88,99,179
14848,SOUTH BEND,IN,-86.15012,39.76691,56,6,8,17,73,100,193
14933,DES MOINES,IA,-86.25405,41.67907,46,7,8,15,105,97,164
94908,DUBUQUE,IA,-93.61538,41.58981,21,6,8,16,92,99,175
14943,SIOUX CITY,IA,-90.66327,42.49913,55,7,9,15,104,104,157
94910,WATERLOO,IA,-96.42086,42.4999,35,6,8,16,91,100,174
13984,CONCORDIA,KS,-92.34194,42.49329,30,9,8,13,131,95,140
13985,DODGE CITY,KS,-97.65747,39.57127,50,9,9,12,137,104,124
23065,GOODLAND,KS,-100.01891,37.75267,72,9,10,11,143,117,105
13996,TOPEKA,KS,-101.71197,39.36573,46,8,8,14,114,97,154
3928,WICHITA,KS,-95.67118,39.04928,39,9,8,13,128,97,140
3889,JACKSON,KY,-97.33558,37.68749,14,6,8,16,73,97,195
93820,LEXINGTON,KY,-83.37801,37.5581,51,6,9,15,89,101,174
93821,LOUISVILLE,KY,-84.5003,38.04861,47,6,9,15,93,102,171
3816,PADUCAH,KY,-85.76666,38.25489,11,8,8,14,101,97,167
13970,BATON ROUGE,LA,-88.59585,37.08571,42,8,9,13,99,119,147
3937,LAKE CHARLES,LA,-91.18664,30.44335,34,7,9,15,98,115,152
12916,NEW ORLEANS,LA,-93.22011,30.22403,47,8,10,12,101,118,146
13957,SHREVEPORT,LA,-90.07775,29.9537,43,8,8,14,114,100,151
14607,CARIBOU,ME,-93.74689,32.51487,54,5,7,18,59,100,206
14764,PORTLAND,ME,-68.01124,46.85929,54,7,7,16,101,99,165
93721,BALTIMORE,MD,-70.25665,43.65915,45,8,9,13,105,108,152
14739,BOSTON,MA,-76.60926,39.29058,60,7,8,15,98,103,164
94746,WORCESTER,MA,-71.05674,42.35866,40,7,9,15,90,107,168
94849,ALPENA,MI,-71.80219,42.26341,36,6,8,16,67,104,194
94847,DETROIT,MI,-83.44515,45.06156,37,6,8,16,75,105,185
14826,FLINT,MI,-83.048,42.33168,54,6,7,17,66,105,195
94860,GRAND RAPIDS,MI,-83.68683,43.01148,32,6,7,17,64,96,205
94814,HOUGHTON LAKE,MI,-85.67195,42.96642,30,6,7,17,65,100,200
14836,LANSING,MI,-84.75914,44.30897,41,6,7,17,71,104,191
14840,MUSKEGON,MI,-84.55225,42.73194,53,7,7,16,75,88,202
14847,SAULT STE. MARIE,MI,-86.24482,43.23425,54,6,7,16,66,90,209
14913,DULUTH,MN,-84.35172,46.49231,47,6,8,16,77,102,187
14918,INTERNATIONAL FALLS,MN,-92.09985,46.78796,56,7,8,15,76,101,188
14922,MINNEAPOLIS-ST.PAUL,MN,-93.40368,48.6026,57,7,8,15,95,101,169
14925,ROCHESTER,MN,-93.19664,44.87207,35,6,7,16,86,97,182
14926,SAINT CLOUD,MN,-92.45933,44.01932,50,7,7,16,97,102,166
3940,JACKSON,MS,-94.19752,45.56586,30,9,7,13,111,104,150
13865,MERIDIAN,MS,-90.18044,32.29896,50,9,8,13,108,110,148
93862,TUPELO,MS,-88.70308,32.36508,10,10,8,12,119,97,150
3945,COLUMBIA,MO,-88.70783,34.25741,26,8,7,15,104,91,169
3947,KANSAS CITY,MO,-92.33415,38.95252,23,9,7,14,120,96,149
13994,ST. LOUIS,MO,-94.58311,39.10344,47,7,8,15,101,101,164
13995,SPRINGFIELD,MO,-90.19956,38.62775,50,8,8,14,115,96,155
24033,BILLINGS,MT,-93.29159,37.20897,56,4,9,17,89,112,164
94008,GLASGOW,MT,-108.50607,45.78426,39,5,8,16,86,111,168
24143,GREAT FALLS,MT,-106.63689,48.19512,57,4,8,18,79,106,180
24144,HELENA,MT,-111.30597,47.50739,54,4,9,18,82,104,179
24146,KALISPELL,MT,-112.02065,46.58976,45,4,6,20,70,81,214
24153,MISSOULA,MT,-114.315,48.20189,51,4,7,20,75,83,208
14935,GRAND ISLAND,NE,-113.99625,46.87278,54,8,9,13,123,102,140
14939,LINCOLN,NE,-98.3399,40.92474,28,8,8,14,117,99,149
14941,NORFOLK,NE,-96.7073,40.81362,50,8,8,14,117,103,146
24023,NORTH PLATTE,NE,-97.41106,42.03271,43,7,9,14,115,109,141
14942,OMAHA EPPLEY,NE,-100.76333,41.13632,49,7,8,14,111,105,149
94918,OMAHA (NORTH),NE,-95.94026,41.26068,18,8,8,14,110,102,153
24028,SCOTTSBLUFF,NE,-101.3622,40.41696002,52,7,9,15,115,112,138
24032,VALENTINE,NE,-103.66274,41.86219,40,8,8,14,123,105,136
24121,ELKO,NV,-100.55062,42.87384,56,6,9,15,130,99,136
23154,ELY,NV,-115.76754,40.83568,56,7,9,13,131,109,125
23169,LAS VEGAS,NV,-114.89483,39.24705,47,16,8,7,210,82,73
23185,RENO,NV,-115.14001,36.17193,53,8,10,12,158,93,114
24128,WINNEMUCCA,NV,-119.81353,39.52766,45,6,9,14,138,89,138
14745,CONCORD,NH,-117.73519,40.97327,54,7,8,15,90,109,166
14755,MT. WASHINGTON,NH,-71.5366,43.20725,73,4,6,20,44,77,244
93730,ATLANTIC CITY,NJ,-71.30346,44.27049,37,7,9,14,94,111,160
14734,NEWARK,NJ,-74.42637,39.36287,53,7,9,14,93,112,160
23050,ALBUQUERQUE,NM,-74.17421,40.73197,56,13,10,8,167,111,87
23051,CLAYTON,NM,-106.64905,35.08423,28,12,9,10,162,99,104
23009,ROSWELL,NM,-103.18329,36.45209,9,14,9,7,168,113,84
14735,ALBANY,NY,-104.52275,33.39509,57,5,8,16,69,111,185
4725,BINGHAMTON,NY,-73.75521,42.65155,44,5,7,18,52,102,212
14733,BUFFALO,NY,-75.91129,42.09871,52,5,8,17,54,103,208
94728,NEW YORK C.PARK,NY,-78.87846,42.88545,42,8,11,12,107,127,132
94789,NEW YORK (JFK),NY,-118.25305,34.23391,37,8,9,13,98,116,152
14732,NEW YORK (LAGUARDIA),NY,-73.79436,40.64459,47,7,9,13,96,117,153
14768,ROCHESTER,NY,-73.87269,40.77607,55,6,8,16,61,104,200
14771,SYRACUSE,NY,-77.61632,43.1558,44,6,7,17,63,98,205
3812,ASHEVILLE,NC,-76.14738,43.05042,31,10,8,12,99,113,153
93729,CAPE HATTERAS,NC,-82.55338,35.59866,38,10,9,11,109,101,156
13881,CHARLOTTE,NC,-75.53641,35.23388,49,10,9,12,109,105,152
13723,GREENSBORO-WNSTN-SALM-HGHPT,NC,-80.83796,35.22286,67,10,8,12,109,107,150
13722,RALEIGH,NC,#VALUE!,,47,10,9,11,111,106,149
13748,WILMINGTON,NC,-78.6427,35.78547,44,11,8,11,111,104,150
24011,BISMARCK,ND,-77.946,34.23497,56,6,9,15,93,107,165
14914,FARGO,ND,-100.77969,46.80536,53,6,9,15,88,109,168
94014,WILLISTON,ND,-96.78176,46.87591,34,6,9,15,93,112,160
14895,AKRON,OH,-103.62187,48.14704,47,5,8,18,68,99,198
93814,GREATER CINCINNATI,OH,-81.51431,41.08431,44,6,8,17,81,98,186
14820,CLEVELAND,OH,-84.311569,39.323708,54,5,8,17,66,97,202
14821,COLUMBUS,OH,-81.69074,41.50473,46,5,8,17,72,103,190
93815,DAYTON,OH,-83.00275,39.96199,52,5,7,17,77,100,188
14891,MANSFIELD,OH,-84.19381,39.7592,30,6,8,16,73,101,191
94830,TOLEDO,OH,-82.51524,40.75854,40,6,8,17,73,107,185
14852,YOUNGSTOWN,OH,-83.53674,41.65404,52,5,7,18,63,97,205
13967,OKLAHOMA CITY,OK,-80.65079,41.0981,44,9,8,13,139,96,130
13968,TULSA,OK,-97.52107,35.47203,54,8,9,13,127,103,136
94224,ASTORIA,OR,-95.99352,36.15011,40,3,6,21,50,76,239
94185,BURNS,OR,-123.83395,46.18977,11,5,10,15,120,94,151
24221,EUGENE,OR,-119.05465,43.58604,53,4,7,19,75,82,209
24225,MEDFORD,OR,-123.08837,44.04992,67,6,8,16,117,79,169
24155,PENDLETON,OR,-122.87561,42.32356,60,5,10,15,101,91,173
24229,PORTLAND,OR,-118.7864,45.67179,47,3,6,21,68,74,222
24232,SALEM,OR,-122.67563,45.51179,58,4,7,19,77,80,208
24235,SEXTON SUMMIT,OR,-123.04381,44.93326,30,6,7,17,126,68,172
14737,ALLENTOWN,PA,-123.36579,42.60014,52,7,9,14,94,110,161
14860,ERIE,PA.,-75.47027,40.60263,40,6,8,17,63,97,205
14751,HARRISBURG,PA,-80.0855,42.12982,53,6,9,15,87,109,169
14711,MIDDLETOWN/HARRISBURG IT,PA,-76.88223,40.25986,61,7,9,15,85,112,168
13739,PHILADELPHIA,PA,-76.68835502,40.1916995,55,7,9,14,93,112,160
94823,PITTSBURGH,PA,-75.16218,39.95222,43,4,8,17,59,103,203
14777,AVOCA,PA,-79.99734,40.43851,40,6,8,16,70,106,189
14778,WILLIAMSPORT,PA,-75.74326,41.33588,51,6,8,16,67,110,188
94793,BLOCK IS.,RI,-77.00141,41.24094,19,8,8,13,98,113,155
14765,PROVIDENCE,RI,-71.55781,41.17245,42,7,8,14,98,103,164
13880,CHARLESTON,SC,-71.41198,41.82388,47,11,8,11,102,109,155
13883,COLUMBIA,SC,-79.9316,32.78115,48,11,8,11,115,103,147
3870,GREENVILLE-SPARTANBURG,SC,-81.04537,33.99882,33,11,8,11,121,100,145
14929,ABERDEEN,SD,-82.04050255,34.93924081,28,7,7,16,101,101,163
14936,HURON,SD,-98.48691,45.45909,56,7,9,15,104,107,154
24090,RAPID CITY,SD,-98.21414,44.36385,53,6,10,15,111,115,139
14944,SIOUX FALLS,SD,-103.2308,44.08146,50,7,8,15,105,103,157
13877,BRISTOL-JHNSN CTY-KNGSPRT,TN,-96.73128,43.54577,58,8,9,14,88,112,165
13882,CHATTANOOGA,TN,#VALUE!,,65,9,8,13,104,106,155
13891,KNOXVILLE,TN,-85.30947,35.04672,53,8,9,13,97,107,162
13893,MEMPHIS,TN,-83.92103,35.96068,43,9,7,14,118,96,151
13897,NASHVILLE,TN,-90.04925,35.14976,54,8,8,13,102,106,156
3841,OAK RIDGE,TN,-86.77816,36.16784,42,10,7,13,109,98,158
13962,ABILENE,TX,-84.25576,36.01468,56,12,8,11,149,95,121
23047,AMARILLO,TX,-99.74142,32.44917,51,12,9,9,157,104,104
13958,AUSTIN,TX,-101.83389,35.20725,54,8,8,15,115,114,136
12919,BROWNSVILLE,TX,-97.74299,30.26759,52,5,10,15,96,131,138
12924,CORPUS CHRISTI,TX,-97.49924,25.90209,53,6,9,15,102,121,142
3927,DALLAS-FORT WORTH,TX,-97.40389,27.79641,42,9,8,13,135,97,133
22010,DEL RIO,TX,-97.03983,32.88985,16,8,7,14,121,106,138
23044,EL PASO,TX,-100.8983,29.36651,53,17,8,5,193,100,72
12960,HOUSTON,TX,-106.48749,31.75916,26,7,7,16,90,114,161
23042,LUBBOCK,TX,-95.36952,29.76078,49,12,9,9,160,102,103
23023,MIDLAND-ODESSA,TX,-101.84501,33.58451,47,13,8,9,165,96,104
12917,PORT ARTHUR,TX,-102.3571621,31.83379788,42,6,8,16,95,117,153
23034,SAN ANGELO,TX,-93.92949,29.8994,47,11,8,11,154,97,114
12921,SAN ANTONIO,TX,-100.44256,31.46183,53,7,8,15,105,119,141
12912,VICTORIA,TX,-98.49461,29.42458,34,5,8,17,86,118,162
13959,WACO,TX,-97.00357,28.80594,50,9,7,14,130,98,136
13966,WICHITA FALLS,TX,-97.1495,31.57182,50,11,8,11,151,93,120
23176,MILFORD,UT,-98.50098,33.9083,40,10,10,11,151,104,111
24127,SALT LAKE CITY,UT,-113.01086,38.39676,69,7,9,14,125,101,139
14742,BURLINGTON,VT,-111.88822,40.76031,52,5,8,17,58,101,206
13733,LYNCHBURG,VA,-73.21277,44.47593,49,9,9,12,112,107,147
13737,NORFOLK,VA,-79.14318,37.4144,47,9,9,12,106,107,153
13740,RICHMOND,VA,-76.28514,36.84686,50,8,9,13,100,106,160
13741,ROANOKE,VA,-77.43367,37.54068,48,9,9,13,102,112,151
24227,OLYMPIA,WA,-79.94057,37.27152,54,3,7,20,52,84,228
94240,QUILLAYUTE,WA,-122.89166,47.03956,29,3,6,21,51,75,239
24281,SEATTLE C.O.,WA,-124.54243,47.94313,24,5,9,16,71,93,201
24233,SEATTLE SEA-TAC,WA,-122.32945,47.60357,51,3,7,20,58,82,226
24157,SPOKANE,WA,-122.27427,47.43405,48,4,8,17,86,88,191
24243,YAKIMA,WA,-117.41162,47.65726,49,6,9,14,109,92,164
3872,BECKLEY,WV,-120.50721,46.60448,32,5,7,17,60,95,210
13866,CHARLESTON,WV,-81.18786,37.77792,47,6,8,16,65,111,189
13729,ELKINS,WV,-81.63895,38.35016,49,4,8,18,48,103,212
3860,HUNTINGTON,WV,-79.84449,38.92402,34,5,8,17,63,99,203
14898,GREEN BAY,WI,-82.44551,38.42031,46,6,8,16,85,102,178
14920,LA CROSSE,WI,-88.00987,44.5132,17,7,7,16,95,97,173
14837,MADISON,WI,-91.25206,43.81267,49,6,8,16,89,96,180
14839,MILWAUKEE,WI,-89.38644,43.07313,55,6,8,16,90,100,175
24089,CASPER,WY,-87.9069,43.04223,45,5,9,16,107,111,147
24018,CHEYENNE,WY,-106.32713,42.85008,60,6,10,14,106,127,133
24021,LANDER,WY,-104.82154,41.13481,49,6,10,14,114,122,129
24029,SHERIDAN,WY,-108.73094,42.83309,55,5,9,16,95,113,157
41415,GUAM,PC,-106.95587,44.79792,20,1,15,14,16,134,215
21603,JOHNSTON ISLAND,PC,128.58439,35.25691,24,7,12,11,99,159,107
40309,KOROR,PC,119.38411,10.25162,53,1,10,19,4,86,273
40604,KWAJALEIN- MARSHALL IS.,PC,134.4216705,7.267820148,44,2,6,23,17,76,272
40710,MAJURO- MARSHALL IS,PC,167.309,9.182,49,1,7,22,7,86,271
61705,PAGO PAGO- AMER SAMOA,PC,171.37138,7.10941,39,1,12,17,12,151,202
40504,POHNPEI- CAROLINE IS.,PC,#VALUE!,,53,*,5,25,2,64,298
40505,CHUUK- E. CAROLINE IS.,PC,147.94189,7.2099,54,*,4,26,0,45,318
41606,WAKE ISLAND,PC,147.94189,7.2099,43,11,14,6,121,149,94
40308,YAP- W CAROLINE IS.,PC,166.64828,19.28012,56,1,10,19,5,90,270
11641,SAN JUAN,PR,147.94189,7.2099,40,7,17,6,73,203,89
